노드ID,노드순번,노드유형,노드명,노드설명,좌표X,좌표Y,맵핑좌표X,맵핑좌표Y,지역ID,정류장번호,사용여부,표준코드여부(1:표준/0:비표준)
111901146,1,5.0,대조시장.NC백화점,대조시장.NC백화점,126.92783606,37.6095175554,126.927825399,37.6095293578,,12888.0,1,0
115900283,1,5.0,마곡우림필유아파트,마곡우림필유아파트,126.820267801,37.572048799,126.82026826,37.572047885,,16641.0,1,0
218001251,1,0.0,국민은행,국민은행,126.901719823,37.7016236361,126.901719823,37.7016236361,,57476.0,1,1
103900296,1,5.0,성수이비즈센터,성수이비즈센터,127.063058,37.546576,127.063042682,37.5465426503,,4526.0,1,0
1180014001,2,101.0,신길동253-213(가상),,126.910204749,37.5039091157,0.0,0.0,,,1,0
119000319,1,0.0,사당롯데캐슬골든포레.사당해그린,,126.963072,37.492436,126.963078156,37.4924399384,,20254.0,1,0
218001268,1,0.0,농협하나로클럽,농협하나로클럽,126.897584455,37.6492291636,126.897584455,37.6492291636,,35168.0,1,1
218001269,1,0.0,농협하나로클럽,농협하나로클럽,126.897363467,37.6490625215,126.897363467,37.6490625215,,35169.0,1,1
118000616,1,0.0,래미안에스티움(신길파크자이),,126.912997134,37.5021641831,126.912928191,37.5020835807,,19326.0,1,0
165000970,1,0.0,송도테크노파크IT센터,송도테크노파크IT센터,126.662940929,37.3793243416,126.662940929,37.3793243416,,39970.0,1,1
277103904,1,6.0,사당IC진입(미정차),사당IC(경유),126.983328993,37.4702587946,126.983328993,37.4702587946,,0.0,1,1
277103902,1,6.0,사당IC출입(미정차),사당IC(경유),126.984331167,37.4703269717,126.984331167,37.4703269717,,0.0,1,1
122000706,1,6.0,영동대교(가상),,127.055620448,37.5266245541,127.05543739,37.5265007192,,23989.0,1,0
122000707,1,6.0,영동대교(가상),,127.055180566,37.5259608708,127.055431347,37.5261281715,,23988.0,1,0
122000708,1,6.0,성수대교(가상),,127.034554379,37.5330951565,127.034505935,37.5329746219,,23987.0,1,0
122000710,1,6.0,동호대교(가상),,127.023734446,37.5317424527,127.023924857,37.5316311109,,23985.0,1,0
122000711,1,6.0,동호대교(가상),,127.02416419,37.5311526541,127.024011737,37.53122421,,23984.0,1,0
168011111,1,6.0,신공항TG(가상),신공항TG(가상),126.664719035,37.5699088357,126.664753563,37.5696897725,,42994.0,1,0
121001340,1,6.0,염곡지하차도북측(가상),,127.040897,37.467813,127.040896907,37.4678127898,,0.0,1,0
232000968,1,0.0,사우역.김포고(김포초교방면),풍년마을.김포고(한전방면),126.717545688,37.6213668181,126.717545688,37.6213668181,,35918.0,1,1
121001315,1,1.0,사당역,사당역,126.982050425,37.4742189784,126.982065258,37.4742219446,,22028.0,1,0
103900303,1,5.0,올림픽체육관앞,올림픽체육관앞,127.049632,37.557015,127.049477579,37.5569188462,,4558.0,1,0
1119900176,2,101.0,벽련산로,,126.922642336,37.5889606535,0.0,0.0,,,1,0
1119900178,2,101.0,가좌로,,126.919135471,37.5885912547,0.0,0.0,,,1,0
116900302,1,5.0,이앤씨드림타워7차,이앤씨드림타워7차,126.886662,37.479796,126.886599715,37.4797924597,,18592.0,1,0
119000320,1,0.0,사당롯데캐슬골든포레.사당해그린,,126.963578,37.492298,126.963348476,37.4923227911,,20213.0,1,0
227000173,1,0.0,센트럴풍경채.동일하이빌.강동리,센트럴풍경채.동일하이빌.강동리엔9단지,127.18172113,37.5569137505,127.18172113,37.5569137505,,28509.0,1,1
219000064,1,0.0,일산역,일산역,126.769906805,37.6814314235,126.769906805,37.6814314235,,36551.0,1,1
1189900104,2,101.0,월드컵대교남단(가상),,126.883802571,37.5536046352,0.0,0.0,,,1,0
219000693,1,5.0,부영아파트,부영아파트,126.766486955,37.694274875,126.766486955,37.694274875,,36052.0,1,1
219000694,1,5.0,경남아파트,경남아파트,126.766174936,37.6940424157,126.766174936,37.6940424157,,36053.0,1,1
124900136,1,5.0,둔촌신성미소지움아파트,,127.144261,37.526637,127.144268098,37.5266553543,,25681.0,1,0
118000597,1,0.0,래미안에스티움,래미안에스티움,126.912767,37.500162,126.912884582,37.5000431241,,19304.0,1,0
124900112,1,5.0,고덕래미안힐스테이트시니어센터,고덕래미안힐스테이트시니어센터,127.147944,37.559295,127.148073194,37.5592267785,,25732.0,1,0
